Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3478719,      291.360,
Traffic, 3727186,      294.120,
BasketballDrive, 718167276,    13853.010,
BQTerrace, 982693421,    16000.380,
Cactus, 806651347,    13936.480,
Kimono, 323971381,     6611.010,
ParkScene, 380435205,     6654.100,
BasketballDrill, 366220,       29.890,
BQMall, 366706,       30.370,
PartyScene, 468208,       30.340,
RaceHorsesC, 393671,       30.200,
BasketballPass, 89486,        7.450,
BlowingBubbles, 106388,        7.510,
BQSquare, 90404,        7.400,
RaceHorses, 111695,        7.590,
FourPeople, 649306,       68.420,
Johnny, 619083,       67.950,
KristenAndSara, 631268,       67.700,
BasketballDrillText, 352899,       29.940,
ChinaSpeed, 497105,       56.680,
SlideEditing, 541604,       65.190,
SlideShow, 96251,       56.900,
